(5, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(4, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(3, ('Aldehyde', '6-Phospho-2-dehydro-D-gluconate'), ('D-Fructose 6-phosphate',), ('4.1.2.38.6.r',))
(3, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(2, ('D-Fructose 6-phosphate',), ('beta-D-Fructose 6-phosphate',), ('1.1.1.b.1.r',))
(2, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))
(1, ('beta-D-Fructose 6-phosphate',), ('D-Glucose 6-phosphate',), ('5.3.1.a.1.f',))

(5, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(4, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(3, ('Aldehyde', 'O=C(O)C(=O)C(O)C(O)COP(=O)(O)O'), ('D-Xylulose 5-phosphate',), ('4.1.2.38.6.r',))
(3, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(2, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(2, ('D-Xylulose 5-phosphate',), ('Xylitol 5-phosphate',), ('1.1.1.215.1.r', '1.1.1.a.1.f'))
(1, ('OCC(O)C(O)C(O)O', 'Xylitol 5-phosphate'), ('D-Glucose 6-phosphate',), ('4.2.2.a.1.f',))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(5, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(4, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(3, ('Aldehyde', 'O=C(O)C(=O)C(O)C(O)COP(=O)(O)O'), ('D-Xylulose 5-phosphate',), ('4.1.2.38.6.r',))
(3, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(2, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(2, ('D-Xylulose 5-phosphate', 'O=COCCOP(=O)(O)O'), ('O=C1C(O)C(O)OC(COP(=O)(O)O)C1O',), ('4.1.2.b.1.f',))
(1, ('O=C1C(O)C(O)OC(COP(=O)(O)O)C1O',), ('D-Glucose 6-phosphate',), ('1.1.1.215.1.r', '1.1.1.a.1.f'))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(5, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(4, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(3, ('Aldehyde', 'O=C(O)C(=O)C(O)C(O)COP(=O)(O)O'), ('D-Xylulose 5-phosphate',), ('4.1.2.38.6.r',))
(3, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(2, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(2, ('O=C(CO)C(O)C(O)O', 'D-Xylulose 5-phosphate'), ('O=C1C(O)C(O)OC(COP(=O)(O)O)C1O',), ('4.2.2.a.1.f',))
(1, ('O=C1C(O)C(O)OC(COP(=O)(O)O)C1O',), ('D-Glucose 6-phosphate',), ('1.1.1.215.1.r', '1.1.1.a.1.f'))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(5, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(4, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(3, ('Aldehyde', 'Glyoxylate'), ('Glycolaldehyde',), ('4.1.2.38.8.r',))
(3, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(2, ('Glycolaldehyde', 'D-Threose 4-phosphate'), ('D-Allose 6-phosphate',), ('4.1.2.b.2.f',))
(2, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(5, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(4, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(3, ('Glyceraldehyde 3-phosphate', 'Aldehyde'), ('D-Threose 4-phosphate',), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('Glycine',), ('Glyoxylate',), ('1.4.1.a.2.f', '1.4.1.a.2.r'))
(2, ('D-Xylose-5-phosphate', 'Glyoxylate'), ('D-Allose 6-phosphate',), ('4.1.2.38.7.r',))
(2, ('Glycolaldehyde', 'D-Threose 4-phosphate'), ('D-Allose 6-phosphate',), ('4.1.2.b.2.f',))
(1, ('D-Allose 6-phosphate',), ('D-Glucose 6-phosphate',), ('1.1.1.c.2.r',))

(5, ('Pyruvate',), ('Serine',), ('4.3.1.d.1.r',))
(4, ('Serine',), ('Aldehyde', 'Glycine'), ('4.1.2.c.1.f', '2.1.2.a.1.r'))
(3, ('Glyceraldehyde 3-phosphate', 'Aldehyde'), ('D-Threose 4-phosphate',), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
