(2, ('NC(CC=O)C(=O)O',), ('O=CCC(=O)C(=O)O',), 'temp_ez_str')
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')
(1, ('O=CCC(=O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')

(6, ('NCCCCC(N)C(=O)O',), ('NCC=CCC(N)C(=O)O',), 'temp_ez_str')
(5, ('NCC=CCC(N)C(=O)O',), ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), 'temp_ez_str')
(4, ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), ('CC(N)(C(=O)O)C(O)CC(N)C(=O)O',), 'temp_ez_str')
(3, ('CC(N)(C(=O)O)C(O)CC(N)C(=O)O',), ('NC(CC=O)C(=O)O', 'CC(N)C(=O)O'), 'temp_ez_str')
(2, ('CC(N)C(=O)O',), ('NC(CC(=O)O)C(=O)O',), 'temp_ez_str')
(2, ('NC(CC=O)C(=O)O',), ('NC(CC(=O)O)C(=O)O',), 'temp_ez_str')
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')

(6, ('NCCCCC(N)C(=O)O',), ('NCC=CCC(N)C(=O)O',), 'temp_ez_str')
(5, ('NCC=CCC(N)C(=O)O',), ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), 'temp_ez_str')
(4, ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), ('NCC(C(=O)O)C(=O)CC(N)C(=O)O',), 'temp_ez_str')
(3, ('NCC(C(=O)O)C(=O)CC(N)C(=O)O',), ('NC(CC(=O)C(C=O)C(=O)O)C(=O)O',), 'temp_ez_str')
(2, ('NC(CC(=O)C(C=O)C(=O)O)C(=O)O',), ('NC(CC(=O)O)C(=O)O', 'O=CCC(=O)O'), 'temp_ez_str')
(1, ('O=CCC(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')

(6, ('NCCCCC(N)C(=O)O',), ('NCC=CCC(N)C(=O)O',), 'temp_ez_str')
(5, ('NCC=CCC(N)C(=O)O',), ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), 'temp_ez_str')
(4, ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), ('NCC(C(=O)O)C(=O)CC(N)C(=O)O',), 'temp_ez_str')
(3, ('NCC(C(=O)O)C(=O)CC(N)C(=O)O',), ('NC(CC(=O)O)C(=O)O', 'NCCC(=O)O'), 'temp_ez_str')
(2, ('NCCC(=O)O',), ('NC(CC(=O)O)C(=O)O',), 'temp_ez_str')
(2, ('NC(CC(=O)O)C(=O)O',), ('NC(CC(=O)O)C(=O)O',), 'temp_ez_str')
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')

(6, ('NCCCCC(N)C(=O)O',), ('NCC=CCC(N)C(=O)O',), 'temp_ez_str')
(5, ('NCC=CCC(N)C(=O)O',), ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), 'temp_ez_str')
(4, ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), ('NCC(C(=O)O)C(=O)CC(N)C(=O)O',), 'temp_ez_str')
(3, ('NCC(C(=O)O)C(=O)CC(N)C(=O)O',), ('NC(CC(=O)O)C(=O)O', 'NCCC(=O)O'), 'temp_ez_str')
(2, ('NCCC(=O)O',), ('NC(CC(=O)O)C(=O)O',), 'temp_ez_str')
(2, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')

(6, ('NCCCCC(N)C(=O)O',), ('NCC=CCC(N)C(=O)O',), 'temp_ez_str')
(5, ('NCC=CCC(N)C(=O)O',), ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), 'temp_ez_str')
(4, ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), ('NCC(C(=O)O)C(=O)CC(N)C(=O)O',), 'temp_ez_str')
(3, ('NCC(C(=O)O)C(=O)CC(N)C(=O)O',), ('NC(CC(=O)O)C(=O)O', 'NCCC(=O)O'), 'temp_ez_str')
(2, ('NCCC(=O)O',), ('O=CCC(=O)O',), 'temp_ez_str')
(2, ('NC(CC(=O)O)C(=O)O',), ('NC(CC(=O)O)C(=O)O',), 'temp_ez_str')
(1, ('O=CCC(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 'temp_ez_str')

(6, ('NCCCCC(N)C(=O)O',), ('NCC=CCC(N)C(=O)O',), 'temp_ez_str')
(5, ('NCC=CCC(N)C(=O)O',), ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), 'temp_ez_str')
(4, ('NCC(C(=O)O)C(O)CC(N)C(=O)O',), ('NCC(C(=O)O)C(=O)CC(N)C(=O)O',), 'temp_ez_str')
